원어,순화어,주의,치환전략,상태
가건물(假建物),임시 건물
가건축(假建築),임시 건축
가검물(可檢物),검사물
가격 투찰(價格透察),가격 제시
가결산(假決算),중간 결산
가결의(假決議),임시 결의
가계약(假契約),임시 계약
가계정(假計定),임시 계정
가공적(架空的),꾸며 낸
가도(假渡),"임시 내줌, 임시 건넴"
가도(假道),임시 도로
가두 배부(街頭配付),거리 배부
가드레일(guardrail(영)),보호 난간
가벌(家閥),"집안, 지체"
가사용(假使用),임시 사용
가산(加算),"보탬, 더함, 덧셈"
가설(加設),"덧설치, 추가 설치"
가설하다(架設--),"놓다, 설치하다"
가송치증(假送致證),"임시 송치증, 임시 가둠 증서"
가수금(假受金),임시 받은 돈
가수증(假收證),임시 영수증
가스 마스크(gas mask(영)),방독면
가시정(假施錠),임시 잠금
가압(加壓),압력 높임
가압류(假押留),임시 압류
가연성(可燃性),타는 성질
가영수증(假領收證),임시 영수증
가영치(假領置),임시 보관
가용(可用),쓸 수 있는
가용 자원(可用資源),쓸 수 있는 자원
가이던스(guidance(영)),"안내, 지도"
가이드(guide(영)),"안내자, 안내원, 길잡이, 지침서, 안내서"
가이드라인(guideline(영)),"지침, 방침"
가이드북(guidebook(영)),"안내서, 지침서, 길잡이"
가적(假積),"임시 쌓기, 겉 쌓기"
가접수(假接受),임시 접수
가제목(假題目),임시 제목
가조인(假調印),임시 조인
가주소(假住所),"임시 주소, 거짓 주소"
가지정(假指定),임시 지정
가징(加徵),덧거둠
가차 없다(假借--),사정없다
가처분 소득(可處分所得),처분 가능 소득
가처분하다(假處分--),임시 처분하다
가첨(加添),덧붙임
가출(假出),"임시 반출, 임시 내보냄"
가표(可票),찬성표
가하다(加--),"더하다, 보태다"
가하다(可--),"옳다, 좋다"
가항(假杭),임시 표지 막대
각개(各個),"따로따로, 하나하나"
각광(脚光),주목
각반(攪拌),"저어 섞기, 휘저어 섞기"
각본조(各本條),각 해당 조문
각축(角逐),겨룸
간구하다(干求--),"요구하다, 바라다"
간극(間隙),틈
간단없이(間斷--),끊임없이
간벽(間壁),"중간벽, 사이벽"
간사 회사(幹事會社),① 주관 회사 ② 유사 회사
간선(幹線),본선
간수(看守),교도관
간접 노무비(間接勞務費),간접 인건비
간헐적(間歇的),이따금
갈취(喝取),빼앗음
감량(感量),가늠치
감모(減耗),"줄어듦, 닳음"
감산하다(減産--),"생산이 줄다, 생산을 줄이다"
감손되다(減損--),줄어들다
감쇠(減衰),"적어짐, 줄어짐, 약해짐"
감수(減水),물이 줆
감압(減壓),압력을 줄임
감입(嵌入),끼워 넣기
감착(嵌着),끼워 붙임
감찰(鑑札),"허가증, 영업 허가증, 등록증, 영업 등록증"
감하다(減--),"줄이다, 빼다"
감하여(鑑--),"비추어, 살피어"
감합(嵌合),끼워 맞춤
