순화대상어,순화어,분야,뜻,예문
내방,방문,행정,다른 사람이 찾아오는 것을 말합니다,고객님께서 내방하시면 안내해 드리겠습니다
지참,가져오기,행정,필요한 물건을 가지고 오는 것을 말합니다,신분증을 지참하여 방문해 주세요
명기하다,쓰다,행정,글에 정확하게 적는 것을 말합니다,신청서에 이름과 주소를 명기하여 주십시오
통보하다,알리다,행정,어떤 사실을 상대방에게 전하는 것을 말합니다,결과를 통보하여 드리겠습니다
구비서류,필요한 서류,행정,신청할 때 갖추어야 하는 서류를 말합니다,구비서류를 모두 챙겨 오세요
기재하다,쓰다,행정,정해진 자리에 내용을 적는 것을 말합니다,아래 칸에 기재하여 주십시오
소지하다,가지고 있다,행정,물건을 몸에 지니고 있는 것을 말합니다,신분증을 소지하고 오세요
개시하다,시작하다,행정,어떤 일을 처음 시작하는 것을 말합니다,접수를 개시하였습니다
잔여,남은 것,행정,다 쓰고 남은 부분을 말합니다,잔여 좌석이 있습니다
익일,다음 날,행정,오늘의 바로 다음 날을 말합니다,익일까지 제출해 주세요
상기,위에 적은 것,행정,앞에서 말한 내용을 가리킵니다,상기 내용을 확인해 주세요
하기,아래에 적은 것,행정,뒤에 나오는 내용을 가리킵니다,하기 사항을 참고하세요
당해,그,행정,바로 그것을 가리킵니다,당해 연도에 신청하세요
해태,제때 하지 않음,행정,정해진 기한 안에 해야 할 일을 하지 않는 것을 말합니다,신고를 해태하면 안내를 다시 받습니다
도과,지나감,행정,정해진 기한이 지나가는 것을 말합니다,기한이 도과되면 다시 신청해야 합니다
필증,증명서,행정,어떤 일을 마쳤다는 것을 보여 주는 종이입니다,필증을 발급받으세요
제출하다,내다,행정,서류나 물건을 관계자에게 내는 것을 말합니다,서류를 제출해 주세요
접수하다,받다,행정,신청서나 서류를 받는 것을 말합니다,신청서를 접수하였습니다
교부하다,내주다,행정,서류나 증명서를 만들어서 주는 것을 말합니다,증명서를 교부해 드립니다
반환하다,돌려주다,행정,빌리거나 받은 것을 다시 주는 것을 말합니다,보증금을 반환해 드립니다
말소하다,없애다,행정,기록을 지워서 없애는 것을 말합니다,등록을 말소하였습니다
변경하다,바꾸다,행정,전과 다르게 고치는 것을 말합니다,주소를 변경해 주세요
정정하다,고치다,행정,잘못된 것을 바르게 고치는 것을 말합니다,오타를 정정하였습니다
철회하다,없던 일로 하다,행정,냈던 신청을 다시 거두어들이는 것을 말합니다,신청을 철회할 수 있습니다
보완하다,채워 넣다,행정,모자란 부분을 채우는 것을 말합니다,서류를 보완해 주세요
송부하다,보내다,행정,물건이나 서류를 부쳐 보내는 것을 말합니다,우편으로 송부해 드립니다
열람하다,보다,행정,자료를 살펴보는 것을 말합니다,자료를 열람할 수 있습니다
공고하다,널리 알리다,행정,여러 사람에게 널리 알리는 것을 말합니다,결과를 공고하였습니다
게시하다,붙여서 알리다,행정,보이는 곳에 붙여서 알리는 것을 말합니다,안내문을 게시하였습니다
회신하다,답을 보내다,행정,물음에 답하여 보내는 것을 말합니다,회신을 기다리고 있습니다
관할,담당하는 곳,행정,어떤 일을 맡아서 처리하는 곳을 말합니다,관할 주민센터에 문의하세요
소관,맡은 일,행정,책임지고 맡아서 하는 일을 말합니다,소관 부서로 연결해 드립니다
사본,복사본,행정,원본을 그대로 베낀 문서를 말합니다,사본을 제출해 주세요
원본,원래 문서,행정,맨 처음 만든 진짜 문서를 말합니다,원본을 지참해 주세요
날인하다,도장을 찍다,행정,서류에 도장을 찍는 것을 말합니다,여기에 날인해 주세요
서명하다,이름을 쓰다,행정,자기 이름을 손으로 쓰는 것을 말합니다,여기에 서명해 주세요
익명,이름을 밝히지 않음,행정,자기 이름을 알리지 않는 것을 말합니다,익명으로 신고할 수 있습니다
경유하다,거쳐 가다,행정,어떤 곳을 거쳐서 가는 것을 말합니다,담당 부서를 경유해 주세요
유예하다,미루다,행정,정해진 때를 뒤로 미루는 것을 말합니다,납부를 유예해 드립니다
갱신하다,다시 만들다,행정,기간이 끝난 것을 새로 고치는 것을 말합니다,자격증을 갱신해 주세요
말미,여유 시간,행정,어떤 일을 할 수 있게 주어지는 시간을 말합니다,처리할 말미를 드리겠습니다
계도하다,알려서 돕다,행정,잘 모르는 사람에게 알려주어 돕는 것을 말합니다,주민을 계도하고 있습니다
「국민기초생활 보장법」,국민기초생활 보장법,행정,생활이 어려운 사람을 돕는 법의 정식 이름입니다. 이름을 바꾸면 안 됩니다.,「국민기초생활 보장법」에 따라 지원받을 수 있습니다.
2026년 1월 15일,정해진 날짜,행정,정해진 날짜입니다. 날짜를 바꾸면 안 됩니다.,신청 기한은 2026년 1월 15일까지입니다.
월 30만 원,정해진 금액,행정,정해진 돈의 액수입니다. 금액을 바꾸면 안 됩니다.,매달 월 30만 원을 지원받습니다.
