원어,다듬은 말,구분,비고
과태료,정해진 법을 안 지켜서 내는 돈,법률,형벌이 아닌 행정 제재금입니다
소명,이유를 설명함,법률,왜 그랬는지 이유를 밝혀 설명하는 것입니다
이의신청,다시 봐 달라고 요청함,법률,결정에 동의하지 않을 때 다시 살펴봐 달라고 요청하는 절차입니다
기각,받아들이지 않음,법률,신청한 내용을 인정하지 않는 것입니다
각하,심사하지 않고 돌려보냄,법률,요건이 안 맞아 아예 심사하지 않고 돌려보내는 것입니다
반려,돌려보냄,법률,낸 서류를 처리하지 않고 다시 돌려주는 것입니다
압류,마음대로 못 쓰게 막음,법률,재산을 마음대로 쓰거나 팔지 못하게 막는 조치입니다
체납,세금을 못 냄,법률,정해진 때까지 세금이나 돈을 내지 않은 상태입니다
고지,알려 줌,법률,내야 할 돈이나 사실을 미리 알려 주는 것입니다
최고,다시 요구함,법률,정해진 기한까지 하라고 다시 한번 요구하는 것입니다
시효,정해진 기간,법률,권리를 쓸 수 있는 정해진 기간을 말합니다
권리,할 수 있는 자격,법률,어떤 일을 하거나 요구할 수 있는 자격입니다
의무,해야 하는 일,법률,반드시 해야 하는 일을 말합니다
상속,물려받음,법률,돌아가신 분의 재산을 물려받는 것입니다
채권,받을 돈이 있는 것,법률,다른 사람에게 돈을 받을 수 있는 권리입니다
채무,갚을 돈이 있는 것,법률,다른 사람에게 돈을 갚아야 하는 의무입니다
근저당,담보로 잡음,법률,돈을 빌릴 때 나중에 받을 최대 금액을 정해 부동산을 담보로 잡는 것입니다
위임,대신 맡김,법률,어떤 일을 다른 사람에게 대신 하도록 맡기는 것입니다
대리,대신함,법률,본인 대신 다른 사람이 하는 것입니다
추징,다시 거두어 감,법률,이미 준 돈이나 이익을 나중에 다시 거두어 가는 것입니다
환수,다시 거두어 감,법률,국가가 지급한 돈을 다시 거두어 가는 것입니다
처분,결정하여 처리함,법률,행정 기관이 어떤 일을 결정하여 처리하는 것입니다
「장애인복지법」,장애인복지법,법률,장애인을 돕기 위한 법의 정식 이름입니다. 이름을 바꾸면 안 됩니다.
「사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률」,사회보장급여 관련 법률,법률,사회보장 급여와 관련된 법의 정식 이름입니다. 이름을 바꾸면 안 됩니다.
신청일부터 30일 이내,정해진 기한,법률,정해진 기한입니다. 기한을 바꾸면 안 됩니다.
