용어,쉬운 말,영역,설명
수급권자,지원받을 자격이 있는 사람,복지,도움을 받을 수 있는 권리가 있는 사람입니다
차상위계층,형편이 조금 나은 저소득 가구,복지,기초생활수급자보다 형편이 조금 나은 저소득 가구입니다
부양의무자, 가족을 돌볼 책임이 있는 사람 ,복지,법으로 가족을 돌볼 책임이 있다고 정해진 사람입니다
급여,지원금,복지,나라에서 주는 돈이나 물건입니다
자활,스스로 살아가기,복지,도움을 받아 스스로 살아갈 힘을 기르는 것입니다
산정,계산,복지,돈이나 수를 계산해서 정하는 것입니다
책정,정함,복지,얼마로 할지 미리 정하는 것입니다
신청주의,,복지,본인이 직접 신청해야만 지원을 받을 수 있는 원칙입니다
내방(來訪),"방문, 찾아옴",복지,다른 사람이 찾아오는 것을 말합니다
수급자,지금 지원받는 사람,복지,지금 실제로 도움을 받고 있는 사람입니다
최저생계비,살아가는 데 드는 최소한의 돈,복지,사람이 살아가는 데 꼭 필요한 최소한의 돈입니다
소득인정액,소득으로 보는 금액,복지,지원 대상을 정할 때 소득으로 계산하는 금액입니다
보장기관,지원해 주는 기관,복지,복지 지원을 책임지고 해 주는 기관입니다
가구원,  한집에 사는 사람 ,복지,한집에서 함께 사는 사람들입니다
복지시설,복지 시설,복지,도움이 필요한 사람들이 지내는 곳입니다
돌봄,돌봄,복지,다른 사람을 보살펴 주는 것입니다
재가복지,집에서 받는 복지,복지,시설이 아닌 집에서 받는 복지 서비스입니다
장애정도,장애의 정도,복지,장애가 얼마나 심한지를 나타냅니다
활동지원,활동 돕기,복지,일상생활을 할 수 있도록 도와주는 것입니다
복지멤버십,복지 멤버십,복지,받을 수 있는 복지 혜택을 미리 알려 주는 제도입니다
긴급복지지원,"급하게 돕는 지원, 긴급 도움",복지,갑자기 어려워진 사람을 빨리 돕는 지원입니다
차등지급,"차이를 두어 지급, 다르게 줌",복지,형편에 따라 다른 금액을 주는 것입니다
국민기초생활보장제도,생활 지원 제도,복지,생활이 어려운 사람을 돕는 나라의 제도 이름입니다. 이름을 바꾸면 안 됩니다.
장애인연금,장애인 지원금,복지,장애가 있는 사람에게 주는 돈의 제도 이름입니다. 이름을 바꾸면 안 됩니다.
