원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status
반려,돌려보냄,행정,"낸 신청서나 서류를 받아들이지 않고 되돌려주는 일입니다.",,"함께 사는 짝을 뜻하는 '반려(伴侶)'가 아닙니다. 여기서는 신청이 받아들여지지 않았다는 뜻입니다. 왜 돌려보냈는지와 다시 낼 수 있는지를 설명하는 문장을 지우지 않습니다.",행정 절차 상용어,gloss,high,review
보완,모자란 것을 채움,행정,"낸 서류에 빠지거나 잘못된 부분이 있을 때 그것을 채워 다시 내는 일입니다.",,"'보완 요구'를 받으면 정해진 기간 안에 내야 하고, 안 내면 반려될 수 있습니다. 기간과 무엇을 채워야 하는지를 그대로 남깁니다.",행정 절차 상용어,gloss,high,review
소급,지난 날짜까지 거슬러 적용함,행정,"결정의 효력을 지금이 아니라 지난 어느 날짜부터 있었던 것으로 치는 일입니다.",,"'소급 적용'은 그 날짜부터의 몫을 함께 받거나 함께 물어내야 한다는 뜻입니다. 기준 날짜가 핵심이라 날짜를 지우지 않습니다.",행정 절차 상용어,gloss,high,review
유예,미뤄 줌,행정,"해야 할 일이나 내야 할 돈의 시기를 뒤로 미뤄 주는 일입니다.",,"없애 주는 것이 아니라 미루는 것입니다. 미룬 뒤 언제까지 해야 하는지를 함께 남깁니다.",행정 절차 상용어,gloss,high,review
기산,날짜를 세기 시작함,행정,"기간을 셀 때 첫날로 삼는 것입니다. '기산일'은 세기 시작하는 날입니다.",,"'90일 이내'가 언제부터 90일인지를 정하는 말입니다. 기산일이 사라지면 기한을 계산할 수 없게 되므로 반드시 남깁니다.",행정 절차 상용어,gloss,high,review
장애정도,장애가 심한 정도,복지,"장애가 얼마나 심한지를 '심한 장애'와 '심하지 않은 장애' 두 가지로 나눈 구분입니다.",,"예전의 '장애등급'(1급~6급)은 2019년에 없어졌습니다. 등급으로 바꿔 쓰면 지금은 없는 제도를 말하게 됩니다. '장애의 정도가 심한 장애인'이 공식 표현입니다.",「장애인복지법」 2019년 장애등급제 폐지,gloss,high,review
중증,심한 정도,복지,"문맥에 따라 두 가지 뜻으로 쓰입니다. ①의료 문서의 '중증질환'은 병이 몹시 심하다는 뜻입니다. ②장애인 제도의 '중증장애인'은 장애의 정도가 심한 경우를 가리키는 법적 분류입니다.",,"어느 뜻인지 앞뒤를 보고 정해야 합니다. 질환·환자와 붙어 있으면 병의 정도이고, 장애인과 붙어 있으면 지원 대상을 가르는 분류입니다. 둘을 섞으면 '중증장애인'이 아픈 사람이 되거나 '중증질환자'가 장애 등급을 받은 사람이 됩니다. 어느 쪽이든 '가벼운/심한 병'처럼 임의로 풀지 말고 원래 말을 남깁니다.","「장애인복지법 시행규칙」 장애 정도 구분 / 의료 문서 상용어. 골든 코퍼스 실제 용법은 중증질환·중증난치질환(의료 뜻)이었다.",gloss,high,review
경증,심하지 않은 정도,복지,"'중증'의 반대쪽으로, 문맥에 따라 병이 심하지 않다는 뜻이거나 장애의 정도가 심하지 않다는 법적 분류입니다.",,"'가벼운'으로 바꾸면 어려움이 없다는 뜻으로 읽힐 수 있습니다. 장애 문맥에서는 지원 대상과 내용을 가르는 분류라는 점이 핵심입니다. '중증'과 같은 문맥 판단이 필요합니다.",「장애인복지법 시행규칙」 장애 정도 구분,gloss,high,review
재판정,다시 판정받는 것,복지,"장애 정도나 자격을 정해진 시기에 다시 심사받는 일입니다.",,"결과에 따라 지원이 달라지거나 끊길 수 있습니다. 언제까지 받아야 하는지와 안 받으면 어떻게 되는지를 남깁니다.",복지 안내문 상용어,gloss,high,review
요건,조건,행정,지원을 받으려면 반드시 충족해야 하는 조건입니다.,,'결격 사유'와 반대 방향입니다. 요건은 갖춰야 하는 것이고 결격 사유는 해당하면 안 되는 것입니다. 2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),행정 절차 상용어,substitute,none,active
적격,조건에 맞음,행정,"정해진 요건을 모두 갖춰 자격이 있다고 인정되는 상태입니다.",,,행정 절차 상용어,gloss,low,review
해제,풀어 줌,행정,"걸려 있던 제한이나 정해 두었던 상태를 없애는 일입니다.",,"'해지'와 다릅니다. 해지는 계약 관계를 앞으로 끝내는 것이고, 해제는 처음부터 없던 것으로 되돌리거나 걸린 제한을 푸는 것입니다. 돈을 돌려주는 범위가 달라집니다.",행정·법률 상용어,gloss,high,review
예외,적용하지 않는 경우,행정,"원칙은 이러하지만 이 경우에는 그렇게 하지 않는다고 따로 정해 둔 것입니다.",,"예외에 해당하는 조건을 지우면 자기가 해당하는지 알 수 없게 됩니다. 조건을 그대로 남깁니다.",행정 절차 상용어,gloss,low,review
공지,알림,행정,여러 사람에게 공식적으로 알림,,"동형이의 주의: 이 항목은 행정 문서의 공지(公知, 알리다)다. '빈 땅'(空地) 뜻의 두 항목은 복지 코퍼스에 등장하지 않아 비활성 처리했다(2026-08-30, consumer-overlap-policy §3.3).",행정 절차 상용어,substitute,none,active
