id,term,easy_term,definition,replace_strategy,risk_level,sources,reviewed_at,reviewed_by
2153,가구,함께 사는 식구,주민등록상 한집에 함께 사는 사람들의 묶음입니다. 복지 심사에서는 이 단위로 소득과 재산을 따집니다.,gloss,high,easydict:welfare-seed3,,
2164,결격,자격이 안 되는 조건,"법이 정한, 그 자격을 가질 수 없게 만드는 조건입니다.",gloss,high,easydict:welfare-seed4,,
2179,경증,심하지 않은 정도,"'중증'의 반대쪽으로, 문맥에 따라 병이 심하지 않다는 뜻이거나 장애의 정도가 심하지 않다는 법적 분류입니다.",gloss,high,easydict:welfare-seed5,,
2155,고지,공식으로 알림,관공서가 결정한 내용을 당사자에게 공식으로 알리는 일입니다. 알린 날짜부터 이의신청 기간 같은 기한이 시작됩니다.,gloss,high,easydict:welfare-seed4,,
2142,과태료,규칙을 안 지켜서 내는 돈,행정상의 의무를 지키지 않았을 때 내는 돈입니다. 범죄에 대한 처벌이 아닙니다.,gloss,high,easydict:welfare-seed3,,
1767,교육급여,학비,"학교에 다니는 데 필요한 입학금, 수업료, 학용품 값 등을 도와주는 급여입니다.",gloss,high,easydict:welfare-seed1,,
1768,교육급여,학용품값을 도와주는 급여,"학교에 다니는 데 필요한 입학금, 수업료, 학용품 값 등을 도와주는 급여입니다.",gloss,high,easydict:welfare-seed1,,
2141,급여,나라에서 주는 돈이나 도움,"복지 제도에서 '급여'는 나라가 형편에 따라 주는 돈이나 서비스입니다. 생계급여, 주거급여, 의료급여, 교육급여처럼 종류가 나뉩니다.",gloss,high,easydict:welfare-seed3,,
2176,기산,날짜를 세기 시작함,기간을 셀 때 첫날로 삼는 것입니다. '기산일'은 세기 시작하는 날입니다.,gloss,high,easydict:welfare-seed5,,
2144,기준 중위소득,나라가 정한 기준 소득,복지 지원의 기준으로 쓰려고 나라가 해마다 정해 발표하는 소득 값입니다. 이 값의 몇 퍼센트인지로 받을 수 있는지를 정합니다.,gloss,high,easydict:welfare-seed3,,
1770,기초생활수급자,수급자(생계급여 등을 받는 사람),"'국민기초생활보장 수급자'를 줄인 말로, 생계급여·의료급여 등 국민기초생활보장제도의 급여를 받는 사람입니다. 문서에서는 흔히 '수급자'라고만 씁니다.",gloss,high,easydict:welfare-seed1,,
2160,말소,기록을 지움,등록되어 있던 자격이나 기록을 공식으로 지우는 일입니다.,gloss,high,easydict:welfare-seed4,,
2172,반려,돌려보냄,낸 신청서나 서류를 받아들이지 않고 되돌려주는 일입니다.,gloss,high,easydict:welfare-seed5,,
2173,보완,모자란 것을 채움,낸 서류에 빠지거나 잘못된 부분이 있을 때 그것을 채워 다시 내는 일입니다.,gloss,high,easydict:welfare-seed5,,
2170,본인부담경감,내가 낼 돈을 줄여 주는 제도,의료비 등에서 본인이 내야 할 몫을 덜어 주는 제도입니다.,gloss,high,easydict:welfare-seed4,,
2156,부과,매겨서 내게 함,관공서가 세금이나 과태료 같은 돈을 내도록 정해 매기는 일입니다.,gloss,high,easydict:welfare-seed4,,
2143,부양의무자,돌볼 의무가 있는 가족,"법이 정한, 신청인을 부양할 책임이 있는 가족입니다. 보통 부모와 자녀를 말합니다.",gloss,high,easydict:welfare-seed3,,
2161,상실,자격을 잃음,가지고 있던 자격이나 권리가 없어지는 일입니다.,gloss,high,easydict:welfare-seed4,,
